Date,PX_LAST,Change,% Change,PX_OPEN,Change,% Change,PX_HIGH,Change,% Change,PX_LOW,Change,% Change
2019/2/25,81.301,-0.8236,-1.002866376,82.2414,0.1168,0.142222915,82.4778,0.3532,0.430078198,81.1855,-0.9391,-1.143506331
2019/2/22,82.1246,0.3368,0.411797359,81.7159,-0.0719,-0.087910422,82.2338,0.446,0.545313604,81.692,-0.0958,-0.117132384
2019/2/21,81.7878,0.1057,0.129404117,81.5986,-0.0835,-0.102225579,81.875,0.1929,0.236159452,81.5439,-0.1382,-0.169192516
2019/2/20,81.6821,0.3879,0.477155812,81.4641,0.1699,0.208994,81.811,0.5168,0.635715709,81.086,-0.2082,-0.256106832
2019/2/19,81.2942,0.3373,0.416641447,81.1193,0.1624,0.200600566,81.3327,0.3758,0.464197616,80.9724,0.0155,0.01914599
2019/2/15,80.9569,0.9958,1.245355554,80.0425,0.0814,0.1017995,80.9639,1.0028,1.254109811,79.9835,0.0224,0.028013622
2019/2/14,79.9611,-0.203,-0.253230561,80.1352,-0.0289,-0.03605105,80.5106,0.3465,0.432238371,79.6882,-0.4759,-0.593657261
2019/2/13,80.1641,0.0668,0.083398566,80.209,0.1117,0.139455387,80.3939,0.2966,0.370299623,79.9246,-0.1727,-0.215612761
2019/2/12,80.0973,0.4418,0.554638412,79.8683,0.2128,0.267150416,80.3066,0.6511,0.817394907,79.763,0.1075,0.134956155
2019/2/11,79.6555,-0.41,-0.512080734,79.9816,-0.0839,-0.104789204,80.0945,0.029,0.036220345,79.47,-0.5955,-0.743766042
2019/2/8,80.0655,0.0264,0.032983879,79.9778,-0.0613,-0.076587568,80.3972,0.3581,0.44740633,79.8297,-0.2094,-0.261622132
2019/2/7,80.0391,-0.9465,-1.168726292,80.853,-0.1326,-0.163732812,80.9004,-0.0852,-0.105203888,79.822,-1.1636,-1.436798641
2019/2/6,80.9856,0.105,0.129820995,80.9997,0.1191,0.1472541,81.0866,0.206,0.254696429,80.6167,-0.2639,-0.326283435
2019/2/5,80.8806,-0.2198,-0.271022091,81.203,0.1026,0.126509857,81.2581,0.1577,0.194450336,80.8132,-0.2872,-0.354128956
2019/2/4,81.1004,0.1354,0.167232755,80.9752,0.0102,0.012598036,81.1935,0.2285,0.282220713,80.2753,-0.6897,-0.851849565
2019/2/1,80.965,0.2398,0.297057177,80.6301,-0.0951,-0.117807079,81.1637,0.4385,0.543200884,80.4709,-0.2543,-0.31501935
2019/1/31,80.7252,-0.157,-0.194109458,81.1826,0.3004,0.371404339,81.6194,0.7372,0.911448996,80.6867,-0.1955,-0.241709548
2019/1/30,80.8822,0.3818,0.474283358,80.5615,0.0611,0.075900244,81.1392,0.6388,0.79353643,80.4435,-0.0569,-0.070682879
2019/1/29,80.5004,0.6333,0.792942275,79.8854,0.0183,0.022913064,80.5548,0.6877,0.861055428,79.863,-0.0041,-0.005133528
2019/1/28,79.8671,-1.2022,-1.482928803,80.5474,-0.5219,-0.643770206,80.5817,-0.4876,-0.601460726,79.7479,-1.3214,-1.6299635
2019/1/25,81.0693,0.8597,1.07181684,80.5186,0.309,0.385240669,81.1144,0.9048,1.128044523,80.1184,-0.0912,-0.1137021
2019/1/24,80.2096,0.1347,0.168217506,80.0749,0,0,80.4513,0.3764,0.470059906,79.7666,-0.3083,-0.38501453
2019/1/23,80.0749,-0.0142,-0.017730253,80.2879,0.1988,0.248223541,80.7668,0.6777,0.846182564,79.9188,-0.1703,-0.212638174
2019/1/22,80.0891,-1.29,-1.585173589,80.6707,-0.7084,-0.870493775,80.7597,-0.6194,-0.761129086,79.8095,-1.5696,-1.928750748
2019/1/18,81.3791,0.9289,1.154627335,80.5983,0.1481,0.184089039,81.3924,0.9422,1.171159301,80.3509,-0.0993,-0.123430395
2019/1/17,80.4502,0.191,0.237978948,80.2523,-0.0069,-0.008597145,80.6103,0.3511,0.437457637,79.852,-0.4072,-0.507356166
2019/1/16,80.2592,0.1549,0.19337289,80.1763,0.072,0.089882815,80.7027,0.5984,0.747026065,80.0644,-0.0399,-0.04981006
2019/1/15,80.1043,0.2022,0.253059682,80.2708,0.3687,0.461439687,80.4917,0.5896,0.737903009,79.8819,-0.0202,-0.025280938
2019/1/14,79.9021,0.2407,0.302153866,79.8244,0.163,0.204616037,80.1379,0.4765,0.598156698,79.3815,-0.2799,-0.35136214
2019/1/11,79.6614,0.1724,0.216885355,79.7342,0.2452,0.308470354,80.1226,0.6336,0.797091421,79.3096,-0.1794,-0.225691605
2019/1/10,79.489,-0.4232,-0.529581215,79.8248,-0.0874,-0.109370034,80.0312,0.119,0.148913432,79.3826,-0.5296,-0.662727343
2019/1/9,79.9122,0.9633,1.220156329,79.365,0.4161,0.527049775,80.0053,1.0564,1.338080708,79.2625,0.3136,0.397218961
2019/1/8,78.9489,0.3746,0.476746213,78.6191,0.0448,0.057016098,79.2393,0.665,0.846332707,78.51,-0.0643,-0.081833373
2019/1/7,78.5743,0.2391,0.305226769,78.3937,0.0585,0.074679071,79.0344,0.6992,0.892574475,78.3412,0.006,0.007659392
2019/1/4,78.3352,0.8808,1.137185234,77.4848,0.0304,0.0392489,78.4898,1.0354,1.336786548,77.4729,0.0185,0.023885021
2019/1/3,77.4544,0.4693,0.609598481,76.8768,-0.1083,-0.140676572,77.4851,0.5,0.649476327,76.6194,-0.3657,-0.475026986
2019/1/2,76.9851,0.2697,0.351559139,76.8777,0.1623,0.211561173,77.7483,1.0329,1.346405024,76.2729,-0.4425,-0.576807264
2018/12/31,76.7154,-0.8768,-1.130010491,77.526,-0.0662,-0.085317854,77.685,0.0928,0.11959965,76.6127,-0.9795,-1.262369156
2018/12/28,77.5922,-0.2107,-0.270812528,78.1304,0.3275,0.420935466,78.1906,0.3877,0.498310474,77.4417,-0.3612,-0.464250047
2018/12/27,77.8029,-0.4115,-0.526117953,78.1792,-0.0352,-0.0450045,78.3269,0.1125,0.143835406,77.6106,-0.6038,-0.771980607
2018/12/26,78.2144,1.0017,1.29732544,77.3931,0.1804,0.233640321,78.282,1.0693,1.384875804,77.076,-0.1367,-0.177043414
2018/12/24,77.2127,-1.4825,-1.883850603,78.8411,0.1459,0.185398855,78.9375,0.2423,0.307896797,77.1847,-1.5105,-1.919430918
2018/12/21,78.6952,-0.114,-0.144653162,79.2586,0.4494,0.570237993,79.2787,0.4695,0.595742629,78.3595,-0.4497,-0.570618659
2018/12/20,78.8092,-1.1473,-1.43490523,79.5291,-0.4274,-0.534540656,80.0438,0.0873,0.109184369,78.8053,-1.1512,-1.439782882
2018/12/19,79.9565,0.2768,0.347390866,79.6185,-0.0612,-0.076807518,79.9974,0.3177,0.398721381,79.2589,-0.4208,-0.528114438
2018/12/18,79.6797,-0.5851,-0.728962135,80.2666,0.0018,0.002242577,80.3998,0.135,0.16819328,79.5496,-0.7152,-0.891050622
2018/12/17,80.2648,-1.0008,-1.231517395,80.9813,-0.2843,-0.349840523,81.2283,-0.0373,-0.04589888,80.1881,-1.0775,-1.325899273
2018/12/14,81.2656,-1.2488,-1.513432807,82.1582,-0.3562,-0.431682228,82.2137,-0.3007,-0.36442124,81.229,-1.2854,-1.557788701
2018/12/13,82.5144,0.3291,0.400436574,82.2219,0.0366,0.044533511,82.5509,0.3656,0.44484841,81.9005,-0.2848,-0.346533991
2018/12/12,82.1853,-0.4362,-0.527949747,82.8228,0.2013,0.243641183,82.9504,0.3289,0.398080403,82.1437,-0.4778,-0.578299837
2018/12/11,82.6215,-0.1081,-0.130666654,82.8158,0.0862,0.104194871,83.1059,0.3763,0.454855336,82.37,-0.3596,-0.434669091
2018/12/10,82.7296,-0.7593,-0.909462216,83.6999,0.211,0.252728207,83.7086,0.2197,0.263148754,82.6965,-0.7924,-0.949108205
2018/12/7,83.4889,1.2176,1.479981476,82.2251,-0.0462,-0.05615567,84.0406,1.7693,2.150567695,82.012,-0.2593,-0.315176738
2018/12/6,82.2713,-1.0883,-1.305548491,83.013,-0.3466,-0.415788943,83.161,-0.1986,-0.238244905,81.6816,-1.678,-2.012965513
2018/12/5,83.3596,-0.041,-0.049160318,83.3463,-0.0543,-0.065107445,83.7958,0.3952,0.473857502,83.1369,-0.2637,-0.316184776
2018/12/4,83.4006,0.4446,0.535946767,83.2237,0.2677,0.322701191,83.909,0.953,1.148801774,83.1697,0.2137,0.257606442
2018/12/3,82.956,0.3953,0.478799235,83.5844,1.0237,1.239936192,83.7902,1.2295,1.489207335,82.6564,0.0957,0.115914715
2018/11/30,82.5607,-0.0747,-0.090397094,82.6358,0.0004,0.000484054,82.9456,0.3102,0.375383915,81.7788,-0.8566,-1.036601747
2018/11/29,82.6354,0.1694,0.20541799,82.3399,-0.1261,-0.152911503,82.7823,0.3163,0.383552009,81.8171,-0.6489,-0.78686974
2018/11/28,82.466,1.3267,1.635089285,81.1888,0.0495,0.061006196,82.7471,1.6078,1.981530528,81.0536,-0.0857,-0.105620827
2018/11/27,81.1393,-0.3186,-0.391122285,81.1545,-0.3034,-0.372462339,81.3603,-0.0976,-0.119816494,80.7546,-0.7033,-0.863390782
2018/11/26,81.4579,-0.0252,-0.030926658,80.9946,-0.4885,-0.599510819,81.5545,0.0714,0.087625532,80.8984,-0.5847,-0.71757211
2018/11/23,81.4831,-1.8823,-2.257891163,82.5597,-0.8057,-0.966468103,82.6002,-0.7652,-0.917886797,81.4595,-1.9059,-2.28620027
2018/11/21,83.3654,0.375,0.451859492,83.3802,0.3898,0.46969288,84.3628,1.3724,1.653685246,83.2391,0.2487,0.299673215
2018/11/20,82.9904,-1.8387,-2.16753449,84.339,-0.4901,-0.577749852,84.5659,-0.2632,-0.310270886,82.2511,-2.578,-3.039051458
2018/11/19,84.8291,0.9167,1.092448792,84.9905,1.0781,1.284792236,85.0658,1.1534,1.374528675,83.6611,-0.2513,-0.29947898
2018/11/16,83.9124,1.0595,1.278772379,83.1243,0.2714,0.327568498,84.2977,1.4448,1.743813433,82.8324,-0.0205,-0.024742646
2018/11/15,82.8529,-1.8742,-2.212043136,84.4027,-0.3244,-0.382876317,84.7927,0.0656,0.077425051,82.7196,-2.0075,-2.369371783
2018/11/14,84.7271,2.2811,2.766780681,82.2983,-0.1477,-0.179147563,84.9353,2.4893,3.019309609,82.1894,-0.2566,-0.31123402
2018/11/13,82.446,-0.602,-0.724881996,83.1792,0.1312,0.157980927,83.5423,0.4943,0.595197958,82.2627,-0.7853,-0.945597727
2018/11/12,83.048,0.1534,0.185054274,83.2429,0.3483,0.420172122,83.6567,0.7621,0.919360248,82.9954,0.1008,0.121600201
2018/11/9,82.8946,-0.3772,-0.452974476,83.1407,-0.1311,-0.157436251,83.2798,0.008,0.009607094,82.4909,-0.7809,-0.937772451
2018/11/8,83.2718,-0.4539,-0.542127447,83.5758,-0.1499,-0.179037022,83.8483,0.1226,0.146430546,82.964,-0.7617,-0.909756502
2018/11/7,83.7257,0.0574,0.068604238,83.5493,-0.119,-0.142228299,84.2049,0.5366,0.641342061,83.3975,-0.2708,-0.32365902
2018/11/6,83.6683,-0.5296,-0.62899431,84.1036,-0.0943,-0.111998043,84.2609,0.063,0.074823719,83.4402,-0.7577,-0.899903679
2018/11/5,84.1979,0.3132,0.373369637,84.1127,0.228,0.271801652,84.6048,0.7201,0.858440216,83.9557,0.071,0.084639988
2018/11/2,83.8847,0.3,0.358917362,83.3949,-0.1898,-0.227075051,83.9926,0.4079,0.488007973,83.2995,-0.2852,-0.341210772
2018/11/1,83.5847,0.3944,0.474093734,83.225,0.0347,0.041711594,84.1049,0.9146,1.099407022,83.0797,-0.1106,-0.132948192
2018/10/31,83.1903,-0.3922,-0.469236981,83.7482,0.1657,0.198247241,83.9024,0.3199,0.38273562,83.1487,-0.4338,-0.519008166
2018/10/30,83.5825,-0.8143,-0.964847008,84.1693,-0.2275,-0.269559983,84.3838,-0.013,-0.015403428,83.436,-0.9608,-1.138431789
2018/10/29,84.3968,-0.6,-0.705908928,85.1439,0.1471,0.173065339,85.1496,0.1528,0.179771474,84.3468,-0.65,-0.764734672
2018/10/26,84.9968,0.3721,0.439706138,84.4766,-0.1481,-0.175008006,85.0455,0.4208,0.497254348,84.1318,-0.4929,-0.582454059
2018/10/25,84.6247,-0.169,-0.19930726,84.5891,-0.2046,-0.241291511,85.0559,0.2622,0.309221086,84.5083,-0.2854,-0.336581609
2018/10/24,84.7937,-0.3508,-0.412005473,85.2025,0.058,0.068119491,85.4485,0.304,0.357040091,84.7774,-0.3671,-0.431149399
2018/10/23,85.1445,-0.6346,-0.739807249,85.6948,-0.0843,-0.098275687,85.7212,-0.0579,-0.06749896,84.9627,-0.8164,-0.951746987
2018/10/22,85.7791,-0.1681,-0.195585196,85.9032,-0.044,-0.051194222,86.1981,0.2509,0.291923413,85.6277,-0.3195,-0.371739859
2018/10/19,85.9472,0.1993,0.232425517,85.899,0.1511,0.176214228,86.3785,0.6306,0.735411596,85.6638,-0.0841,-0.098078204
2018/10/18,85.7479,-0.9545,-1.100892248,86.5531,-0.1493,-0.172198232,86.5531,-0.1493,-0.172198232,85.7135,-0.9889,-1.140568196
2018/10/17,86.7024,-0.3239,-0.372186339,86.9885,-0.0378,-0.043435145,87.2671,0.2408,0.276697964,86.3941,-0.6322,-0.726447063
2018/10/16,87.0263,-0.0998,-0.114546617,87.2996,0.1735,0.199136654,87.3156,0.1895,0.217500841,86.8066,-0.3195,-0.366709861
2018/10/15,87.1261,0.891,1.033221971,86.6158,0.3807,0.441467569,87.1444,0.9093,1.054443028,86.3403,0.1052,0.121992089
2018/10/12,86.2351,0.3113,0.362297757,86.0811,0.1573,0.183069185,86.582,0.6582,0.766027573,85.9162,-0.0076,-0.008845046
2018/10/11,85.9238,-0.465,-0.538264219,85.8529,-0.5359,-0.620335043,86.2555,-0.1333,-0.15430241,85.4899,-0.8989,-1.040528402
2018/10/10,86.3888,-0.8468,-0.970704621,87.3437,0.1081,0.1239173,87.4463,0.2107,0.241529834,86.3487,-0.8869,-1.016672093
2018/10/9,87.2356,0.3101,0.356742268,87.0113,0.0858,0.098705213,87.4472,0.5217,0.60016911,86.7796,-0.1459,-0.167844879
2018/10/8,86.9255,0.0262,0.03014984,86.6181,-0.2812,-0.32359294,86.9471,0.0478,0.055006197,86.2927,-0.6066,-0.698049351
2018/10/5,86.8993,0.1096,0.126282266,87.0673,0.2776,0.319853623,87.1851,0.3954,0.455584015,86.6633,-0.1264,-0.145639402
2018/10/4,86.7897,-0.8865,-1.011106777,87.6788,0.0026,0.002965457,87.8955,0.2193,0.250124891,86.6963,-0.9799,-1.117635116
2018/10/3,87.6762,0.5271,0.604825523,87.2687,0.1196,0.13723607,87.8349,0.6858,0.786927232,87.189,0.0399,0.045783605
2018/10/2,87.1491,0.7853,0.909293014,86.4248,0.061,0.070631445,87.2586,0.8948,1.036082247,86.2482,-0.1156,-0.133852378
2018/10/1,86.3638,1.1628,1.364772714,85.2348,0.0338,0.039670896,86.4028,1.2018,1.410546825,85.046,-0.155,-0.181922747
2018/9/28,85.201,0.4478,0.528357631,84.8769,0.1237,0.145953191,85.5742,0.821,0.968694987,84.6793,-0.0739,-0.087194348
2018/9/27,84.7532,0.0564,0.066590473,84.8136,0.1168,0.137903675,84.8677,0.1709,0.20177858,84.4217,-0.2751,-0.32480566
2018/9/26,84.6968,-0.3875,-0.455430673,85.0554,-0.0289,-0.033966313,85.2269,0.1426,0.167598488,84.6433,-0.441,-0.518309488
2018/9/25,85.0843,0.2327,0.274243503,84.5804,-0.2712,-0.319616837,85.3218,0.4702,0.554143941,84.5596,-0.292,-0.344130223
2018/9/24,84.8516,0.4491,0.532093244,84.3608,-0.0417,-0.049406119,85.0309,0.6284,0.744527709,84.3472,-0.0553,-0.065519386
2018/9/21,84.4025,0.5205,0.620514532,83.8757,-0.0063,-0.007510551,84.6058,0.7238,0.862878806,83.8157,-0.0663,-0.079039603
2018/9/20,83.882,0.5196,0.623302592,83.4883,0.1259,0.151027322,83.9802,0.6178,0.741101504,83.3141,-0.0483,-0.057939791
2018/9/19,83.3624,0.6268,0.757594071,82.7107,-0.0249,-0.030095872,83.3942,0.6586,0.796029762,82.7107,-0.0249,-0.030095872
2018/9/18,82.7356,0.5963,0.725961872,82.0267,-0.1126,-0.137084197,82.8709,0.7316,0.890682049,82.0057,-0.1336,-0.162650522
2018/9/17,82.1393,-0.3193,-0.387224619,82.289,-0.1696,-0.205678971,82.6309,0.1723,0.208953341,82.1016,-0.357,-0.432944532
2018/9/14,82.4586,-0.262,-0.316728844,82.809,0.0884,0.106865763,82.9361,0.2155,0.260515519,82.2458,-0.4748,-0.573980363
2018/9/13,82.7206,-0.7502,-0.89875741,83.3643,-0.1065,-0.127589528,83.4804,0.0096,0.011501028,82.6646,-0.8062,-0.965846739
2018/9/12,83.4708,0.493,0.594134817,83.0064,0.0286,0.03446705,83.8612,0.8834,1.064622104,83.0047,0.0269,0.032418309
2018/9/11,82.9778,0.0449,0.054140154,82.9676,0.0347,0.041841055,83.1998,0.2669,0.32182644,82.4273,-0.5056,-0.609649488
2018/9/10,82.9329,0.3476,0.42089815,82.5647,-0.0206,-0.024943906,83.1171,0.5318,0.643940265,82.5381,-0.0472,-0.057153028
2018/9/7,82.5853,0.1552,0.188280737,82.5292,0.0991,0.120223074,82.6183,0.1882,0.228314657,82.2009,-0.2292,-0.278053769
