Date,PX_LAST,Change,% Change,PX_OPEN,Change,% Change,PX_HIGH,Change,% Change,PX_LOW,Change,% Change
2019/2/25,2796.11,3.44,0.123179609,2804.35,11.68,0.418237744,2813.49,20.82,0.745523102,2794.99,2.32,0.08307462
2019/2/22,2792.67,17.79,0.641108805,2780.67,5.79,0.208657672,2794.2,19.32,0.696246324,2779.11,4.23,0.152439024
2019/2/21,2774.88,-9.82,-0.352641218,2780.24,-4.46,-0.160160879,2781.58,-3.12,-0.112040794,2764.55,-20.15,-0.723596797
2019/2/20,2784.7,4.94,0.177713184,2779.05,-0.71,-0.025541773,2789.88,10.12,0.364060207,2774.06,-5.7,-0.205053674
2019/2/19,2779.76,4.16,0.149877504,2769.28,-6.32,-0.227698516,2787.33,11.73,0.422611327,2767.29,-8.31,-0.299394725
2019/2/15,2775.6,29.87,1.087870985,2760.24,14.51,0.528456913,2775.66,29.93,1.090056196,2760.24,14.51,0.528456913
2019/2/14,2745.73,-7.3,-0.265162385,2743.5,-9.53,-0.346164045,2757.9,4.87,0.176896002,2731.23,-21.8,-0.791854793
2019/2/13,2753.03,8.3,0.302397686,2750.3,5.57,0.202934351,2761.85,17.12,0.623740769,2748.63,3.9,0.142090479
2019/2/12,2744.73,34.93,1.28902502,2722.61,12.81,0.472728615,2748.19,38.39,1.41670972,2722.61,12.81,0.472728615
2019/2/11,2709.8,1.92,0.070904176,2712.4,4.52,0.166920248,2718.05,10.17,0.375570557,2703.79,-4.09,-0.151040666
2019/2/8,2707.88,1.83,0.067626245,2692.36,-13.69,-0.505903439,2708.07,2.02,0.074647549,2681.83,-24.22,-0.895031503
2019/2/7,2706.05,-25.56,-0.935711906,2717.53,-14.08,-0.515446934,2719.32,-12.29,-0.449917814,2687.26,-44.35,-1.623584626
2019/2/6,2731.61,-6.09,-0.222449501,2735.05,-2.65,-0.096796581,2738.08,0.38,0.013880264,2724.15,-13.55,-0.494941009
2019/2/5,2737.7,12.83,0.470848151,2728.34,3.47,0.127345525,2738.98,14.11,0.517822869,2724.03,-0.84,-0.030827159
2019/2/4,2724.87,18.34,0.677620422,2706.49,-0.04,-0.001477907,2724.99,18.46,0.682054143,2698.75,-7.78,-0.287452938
2019/2/1,2706.53,2.43,0.089863541,2702.32,-1.78,-0.065825968,2716.66,12.56,0.464479864,2696.88,-7.22,-0.26700196
2019/1/31,2704.1,23.05,0.859737789,2685.49,4.44,0.165606759,2708.95,27.9,1.040637064,2678.65,-2.4,-0.089517167
2019/1/30,2681.05,41.05,1.554924242,2653.62,13.62,0.515909091,2690.44,50.44,1.910606061,2648.34,8.34,0.315909091
2019/1/29,2640,-3.85,-0.145620969,2644.89,1.04,0.039336574,2650.93,7.08,0.267791289,2631.05,-12.8,-0.484142444
2019/1/28,2643.85,-20.91,-0.784686051,2644.97,-19.79,-0.742655999,2644.97,-19.79,-0.742655999,2624.06,-40.7,-1.52734205
2019/1/25,2664.76,22.43,0.848872018,2657.44,15.11,0.571843789,2672.38,30.05,1.137253863,2657.33,15,0.567680797
2019/1/24,2642.33,3.63,0.137567742,2638.84,0.14,0.005305643,2647.2,8.5,0.322128321,2627.01,-11.69,-0.443021185
